;Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);QTD. DE HORAS DE FRIO (< 7.2°C), DIARIA (MAIO - AGOSTO);QTD. DE HORAS TEMP. IDEAL (18°C - 23 C°), DIARIA (SETEMBRO - ABRIL);QTD. DE HORAS TEMP. PREJUDICIAL (> 27 C°), DIARIA (SETEMBRO - ABRIL);PRECIPITACAO TOTAL, DIARIO (AUT)(mm) (SETEMBRO - ABRIL);SAFRA
17;2009-05-18;0.2;910.0;8.3;23.0;13.3;6.7;76.0;31.0;10.0;3.5;1;0;0;0.0;2010
18;2009-05-19;1.6;910.7;11.5;20.4;14.2;10.5;84.7;53.0;4.7;1.7;0;0;0;0.0;2010
19;2009-05-20;0.2;911.1;13.1;23.3;15.9;11.4;85.1;52.0;10.1;4.6;0;0;0;0.0;2010
20;2009-05-21;0.2;910.2;11.1;23.1;15.2;10.3;79.1;43.0;9.1;3.9;0;0;0;0.0;2010
21;2009-05-22;0.2;909.8;10.4;23.1;14.8;9.4;78.2;41.0;10.5;3.8;0;0;0;0.0;2010
22;2009-05-23;0.0;910.0;10.6;22.3;14.5;8.9;79.8;43.0;8.8;3.4;0;0;0;0.0;2010
23;2009-05-24;0.4;907.8;10.5;21.2;13.3;5.7;85.1;45.0;7.0;2.9;1;0;0;0.0;2010
24;2009-05-25;1.2;902.8;13.9;21.6;16.2;10.4;86.8;66.0;10.3;4.1;0;0;0;0.0;2010
25;2009-05-26;0.0;904.0;14.1;19.1;16.0;14.3;89.4;73.0;6.7;1.7;0;0;0;0.0;2010
26;2009-05-27;11.0;906.4;12.5;15.4;13.1;11.8;96.4;82.0;6.5;1.9;0;0;0;0.0;2010
27;2009-05-28;3.0;909.5;9.2;15.8;10.9;8.8;90.1;60.0;6.5;1.9;0;0;0;0.0;2010
28;2009-05-29;0.0;911.3;6.6;13.5;8.3;4.3;88.8;76.0;6.4;2.7;12;0;0;0.0;2010
29;2009-05-30;8.8;906.1;10.6;12.5;11.3;6.7;95.6;92.0;13.9;5.6;0;0;0;0.0;2010
30;2009-05-31;20.4;901.7;8.2;13.2;9.1;8.7;94.0;82.0;13.4;5.8;5;0;0;0.0;2010
31;2009-06-01;1.6;903.9;3.8;6.4;4.7;4.0;93.8;87.0;11.8;4.4;24;0;0;0.0;2010
32;2009-06-02;0.2;906.8;1.3;8.1;4.3;2.4;81.5;53.0;11.9;4.0;23;0;0;0.0;2010
33;2009-06-03;0.0;910.1;-0.2;12.9;5.2;0.0;71.1;37.0;7.9;2.3;17;0;0;0.0;2010
34;2009-06-04;0.0;907.5;-1.1;17.2;6.7;-0.3;63.7;21.0;8.6;4.4;15;0;0;0.0;2010
35;2009-06-05;0.0;906.2;2.4;16.6;7.9;0.8;71.0;41.0;11.4;4.0;13;0;0;0.0;2010
36;2009-06-06;0.0;910.8;3.3;14.3;6.8;-0.2;81.0;45.0;6.1;1.7;15;0;0;0.0;2010
37;2009-06-07;0.2;912.1;3.4;16.4;6.6;-0.3;84.0;38.0;8.1;3.1;16;0;0;0.0;2010
38;2009-06-08;0.2;910.1;5.9;18.6;10.1;3.2;77.8;45.0;12.5;4.8;12;0;0;0.0;2010
39;2009-06-09;17.6;907.1;10.5;13.7;11.3;8.6;94.9;75.0;8.0;3.0;0;0;0;0.0;2010
40;2009-06-10;5.6;907.2;9.0;17.6;12.1;9.1;83.8;48.0;6.5;1.8;0;0;0;0.0;2010
41;2009-06-11;0.0;910.1;4.0;14.3;7.6;1.3;79.8;39.0;5.2;1.6;11;0;0;0.0;2010
42;2009-06-12;0.2;912.1;3.6;11.4;5.6;1.9;87.7;60.0;6.0;1.8;18;0;0;0.0;2010
43;2009-06-13;0.0;911.1;3.7;15.3;7.9;2.7;78.8;32.0;8.2;3.3;13;0;0;0.0;2010
44;2009-06-14;0.2;909.3;3.4;15.3;7.8;1.5;77.1;40.0;10.5;4.6;13;0;0;0.0;2010
45;2009-06-15;0.0;907.5;4.4;16.4;8.5;1.8;77.6;43.0;10.1;4.7;12;0;0;0.0;2010
46;2009-06-16;29.0;903.3;8.2;11.1;9.0;6.4;95.1;74.0;10.3;3.6;0;0;0;0.0;2010
47;2009-06-17;19.8;906.1;6.8;10.7;7.7;4.5;93.8;82.0;8.2;2.5;8;0;0;0.0;2010
48;2009-06-18;0.2;908.7;8.7;17.8;11.3;7.1;85.4;57.0;7.8;2.3;0;0;0;0.0;2010
49;2009-06-19;0.0;908.5;8.5;19.3;11.6;7.1;83.4;45.0;10.0;4.9;0;0;0;0.0;2010
50;2009-06-20;0.4;909.0;8.3;20.5;11.9;7.1;81.1;47.0;10.8;4.8;0;0;0;0.0;2010
51;2009-06-21;0.0;908.1;8.2;20.9;12.4;6.6;78.8;38.0;12.3;5.1;1;0;0;0.0;2010
52;2009-06-22;0.0;906.7;9.7;21.7;13.0;8.0;82.8;43.0;8.7;3.7;0;0;0;0.0;2010
53;2009-06-23;10.0;904.2;12.5;16.0;13.8;9.7;92.1;77.0;13.0;4.0;0;0;0;0.0;2010
54;2009-06-24;6.4;908.2;7.0;13.9;7.5;4.8;96.5;92.0;10.7;2.6;10;0;0;0.0;2010
55;2009-06-25;0.4;909.3;8.2;15.8;9.9;5.3;89.8;60.0;7.0;2.5;0;0;0;0.0;2010
56;2009-06-26;0.2;911.6;6.3;16.4;9.1;3.0;84.8;52.0;7.5;2.3;11;0;0;0.0;2010
57;2009-06-27;0.4;911.5;9.1;14.3;10.3;7.3;92.4;76.0;6.8;3.4;0;0;0;0.0;2010
58;2009-06-28;1.0;909.5;8.9;16.2;10.7;5.3;89.2;68.0;10.6;5.0;5;0;0;0.0;2010
59;2009-06-29;0.2;903.6;12.0;22.7;15.2;10.2;82.8;56.0;19.2;8.1;0;0;0;0.0;2010
60;2009-06-30;10.2;903.3;4.6;14.0;9.7;6.2;74.5;32.0;15.9;4.8;6;0;0;0.0;2010
61;2009-07-01;0.0;905.3;-1.0;16.3;7.4;-0.5;60.1;20.0;5.7;2.1;13;0;0;0.0;2010
62;2009-07-02;0.0;906.5;-0.4;16.9;8.6;1.3;57.6;22.0;6.8;2.9;10;0;0;0.0;2010
63;2009-07-03;0.0;908.7;-1.5;17.3;8.3;-0.1;55.2;14.0;5.6;2.1;9;0;0;0.0;2010
64;2009-07-04;0.0;909.6;-0.8;19.4;9.3;0.6;53.1;19.0;6.5;2.5;8;0;0;0.0;2010
65;2009-07-05;0.0;911.1;4.7;15.5;9.4;5.1;73.3;53.0;11.4;5.2;9;0;0;0.0;2010
66;2009-07-06;0.0;909.6;11.1;20.2;13.7;8.2;85.0;62.0;10.5;5.3;0;0;0;0.0;2010
67;2009-07-07;8.6;907.7;12.5;15.6;13.2;12.2;95.7;86.0;9.4;3.9;0;0;0;0.0;2010
68;2009-07-08;38.6;907.3;12.2;15.7;13.2;11.7;93.6;83.0;8.0;3.4;0;0;0;0.0;2010
69;2009-07-09;10.4;906.0;11.6;14.1;12.3;10.4;95.9;89.0;5.6;2.3;0;0;0;0.0;2010
70;2009-07-10;0.6;903.3;11.4;17.3;12.8;10.5;91.7;71.0;9.1;2.1;0;0;0;0.0;2010
71;2009-07-11;8.8;902.2;8.3;11.5;8.7;8.8;97.2;93.0;13.0;2.4;5;0;0;0.0;2010
72;2009-07-12;6.6;907.0;1.8;12.4;5.1;-1.1;82.3;34.0;6.0;2.0;17;0;0;0.0;2010
73;2009-07-13;0.0;908.3;5.1;16.7;8.8;2.6;80.2;39.0;9.5;4.3;13;0;0;0.0;2010
74;2009-07-14;0.2;911.7;4.9;12.3;8.3;5.5;80.6;56.0;6.3;2.0;5;0;0;0.0;2010
75;2009-07-15;0.0;910.8;5.5;11.8;7.0;2.7;90.3;74.0;12.4;5.8;12;0;0;0.0;2010
76;2009-07-16;33.4;908.2;10.0;12.4;10.5;7.7;96.6;95.0;12.8;5.8;0;0;0;0.0;2010
77;2009-07-17;30.6;908.7;11.3;14.9;12.2;10.3;94.2;76.0;9.7;3.5;0;0;0;0.0;2010
78;2009-07-18;0.2;911.0;5.2;12.6;6.4;3.2;92.2;73.0;5.6;1.7;15;0;0;0.0;2010
79;2009-07-19;0.0;910.3;6.7;15.7;9.8;3.9;82.4;52.0;9.5;3.1;4;0;0;0.0;2010
80;2009-07-20;0.0;908.6;5.0;16.1;8.5;3.0;80.2;49.0;11.2;4.8;12;0;0;0.0;2010
81;2009-07-21;0.0;903.3;8.6;17.4;11.2;6.5;84.6;65.0;15.8;7.1;0;0;0;0.0;2010
82;2009-07-22;12.2;901.0;8.9;14.3;11.0;8.9;87.4;71.0;17.5;5.7;0;0;0;0.0;2010
83;2009-07-23;0.2;906.2;3.8;11.4;6.5;4.0;84.2;49.0;7.6;1.9;16;0;0;0.0;2010
84;2009-07-24;0.0;909.0;-3.4;7.6;0.5;-4.9;78.2;39.0;8.3;2.6;24;0;0;0.0;2010
85;2009-07-25;0.0;909.1;-3.3;13.0;2.2;-6.3;72.5;30.0;9.6;2.9;17;0;0;0.0;2010
86;2009-07-26;0.4;909.2;2.4;15.0;8.1;-1.2;72.9;30.0;6.8;2.4;13;0;0;0.0;2010
87;2009-07-27;0.0;908.9;2.1;16.2;9.1;4.0;61.9;40.0;4.9;1.8;11;0;0;0.0;2010
88;2009-07-28;2.0;905.7;10.1;13.8;11.5;9.1;91.3;72.0;7.6;3.4;0;0;0;0.0;2010
89;2009-07-29;0.6;906.7;4.4;13.6;8.7;6.2;78.0;36.0;7.0;2.1;9;0;0;0.0;2010
90;2009-07-30;0.0;910.8;-1.8;13.7;6.0;-1.0;62.0;22.0;5.4;1.5;16;0;0;0.0;2010
91;2009-07-31;0.0;910.8;4.6;13.4;6.9;1.7;85.3;52.0;10.5;4.8;12;0;0;0.0;2010
92;2009-08-01;8.8;907.6;9.9;18.5;11.7;7.3;89.3;71.0;11.7;5.2;0;0;0;0.0;2010
93;2009-08-02;34.4;903.8;10.6;16.2;12.3;10.4;90.1;73.0;13.0;5.6;0;0;0;0.0;2010
94;2009-08-03;1.2;907.5;6.4;12.5;8.2;6.2;88.8;68.0;14.5;4.2;7;0;0;0.0;2010
95;2009-08-04;0.4;909.5;3.4;19.8;9.2;0.1;73.8;26.0;8.5;4.1;13;0;0;0.0;2010
96;2009-08-05;0.0;905.6;8.9;26.2;15.0;4.1;72.2;30.0;12.0;5.5;0;0;0;0.0;2010
97;2009-08-06;12.8;905.4;11.3;18.8;12.9;11.5;90.2;64.0;16.9;3.2;0;0;0;0.0;2010
98;2009-08-07;21.2;907.8;9.3;12.3;10.3;7.8;94.0;81.0;16.9;5.4;0;0;0;0.0;2010
99;2009-08-08;17.2;908.5;13.1;17.2;13.8;9.8;95.5;81.0;8.9;3.0;0;0;0;0.0;2010
100;2009-08-09;34.8;906.5;12.3;15.7;13.0;10.9;95.7;88.0;10.9;3.1;0;0;0;0.0;2010
101;2009-08-10;30.8;907.0;7.5;13.3;8.5;7.2;93.5;79.0;13.3;3.3;2;0;0;0.0;2010
102;2009-08-11;0.8;912.8;3.1;17.1;8.3;1.7;75.7;27.0;8.4;2.7;14;0;0;0.0;2010
103;2009-08-12;0.0;912.1;4.1;21.1;10.5;3.0;71.2;21.0;9.7;4.7;11;0;0;0.0;2010
104;2009-08-13;0.2;910.6;6.3;23.2;13.0;5.8;69.2;26.0;12.3;5.3;4;0;0;0.0;2010
105;2009-08-14;0.0;908.9;7.6;25.3;15.4;7.9;63.9;30.0;13.1;3.9;0;0;0;0.0;2010
106;2009-08-15;0.0;906.0;7.8;25.4;16.2;9.5;61.4;28.0;12.1;4.4;0;0;0;0.0;2010
107;2009-08-16;0.0;904.6;8.5;26.4;16.8;9.6;61.4;32.0;13.8;5.4;0;0;0;0.0;2010
108;2009-08-17;5.6;903.9;12.9;18.1;14.9;13.7;88.3;68.0;11.0;4.1;0;0;0;0.0;2010
109;2009-08-18;13.8;903.3;11.0;16.1;12.4;10.8;90.9;78.0;9.2;3.0;0;0;0;0.0;2010
110;2009-08-19;29.0;899.8;10.5;19.5;13.3;9.0;84.7;54.0;13.4;3.0;0;0;0;0.0;2010
111;2009-08-20;0.0;900.9;9.7;16.4;12.1;11.3;85.9;58.0;11.9;4.0;0;0;0;0.0;2010
112;2009-08-21;2.4;908.2;4.5;12.1;7.2;5.0;84.2;57.0;10.3;2.3;14;0;0;0.0;2010
113;2009-08-22;0.0;908.7;4.0;16.6;8.7;3.6;75.1;37.0;11.4;4.6;12;0;0;0.0;2010
114;2009-08-23;0.0;907.7;6.8;17.9;11.0;6.6;76.9;48.0;15.2;4.6;2;0;0;0.0;2010
115;2009-08-24;0.0;909.1;7.4;19.4;12.1;5.9;76.1;36.0;8.5;3.5;2;0;0;0.0;2010
116;2009-08-25;0.0;912.3;9.0;22.0;13.7;7.4;76.0;42.0;10.5;4.3;0;0;0;0.0;2010
117;2009-08-26;0.2;911.9;8.2;22.4;13.8;7.0;73.0;35.0;10.7;4.9;0;0;0;0.0;2010
118;2009-08-27;0.0;911.4;9.5;22.7;14.7;8.4;74.7;41.0;9.0;3.2;0;0;0;0.0;2010
119;2009-08-28;0.0;911.2;8.3;24.8;16.0;6.9;64.4;29.0;6.3;2.3;0;0;0;0.0;2010
120;2009-08-29;0.2;910.1;7.8;27.6;16.9;9.2;62.6;20.0;10.5;4.6;0;0;0;0.0;2010
121;2009-08-30;0.0;909.2;5.8;28.3;17.5;7.9;51.3;18.0;10.3;4.9;0;0;0;0.0;2010
122;2009-08-31;0.0;907.0;6.9;26.3;17.5;8.1;53.2;26.0;10.8;3.9;0;0;0;0.0;2010
123;2009-09-01;0.0;905.4;10.2;27.5;18.6;10.4;62.2;28.0;11.6;3.3;0;7;0;0.0;2010
124;2009-09-02;20.8;905.9;13.3;19.1;14.1;12.6;94.8;72.0;12.8;3.8;0;0;0;20.8;2010
125;2009-09-03;45.2;904.5;14.4;18.1;15.4;13.8;94.1;82.0;16.0;4.2;0;0;0;45.2;2010
126;2009-09-04;9.8;904.6;13.8;21.6;16.2;14.1;86.5;63.0;9.5;2.6;0;7;0;9.8;2010
127;2009-09-05;0.2;906.6;9.5;20.0;14.6;10.2;74.7;33.0;7.3;2.0;0;5;0;0.2;2010
128;2009-09-06;0.0;905.1;12.6;19.4;14.9;9.3;86.9;52.0;9.4;4.5;0;6;0;0.0;2010
129;2009-09-07;0.2;899.3;12.6;20.0;14.3;11.0;89.7;72.0;15.5;5.5;0;2;0;0.2;2010
130;2009-09-08;45.8;899.0;11.9;17.0;12.8;11.4;94.4;77.0;18.5;3.9;0;0;0;45.8;2010
131;2009-09-09;16.8;906.0;8.1;10.2;8.5;7.9;97.0;93.0;10.1;2.9;0;0;0;16.8;2010
132;2009-09-10;51.0;912.5;8.4;11.1;9.0;7.2;96.1;91.0;10.5;3.2;0;0;0;51.0;2010
133;2009-09-11;25.6;914.2;10.4;12.3;11.2;7.7;95.3;92.0;10.5;4.2;0;0;0;25.6;2010
134;2009-09-12;76.8;908.4;12.1;14.5;12.7;11.1;95.7;92.0;12.3;5.0;0;0;0;76.8;2010
135;2009-09-13;6.6;907.4;11.0;17.8;12.5;9.8;90.9;66.0;6.8;2.3;0;0;0;6.6;2010
136;2009-09-14;1.2;909.2;10.5;20.3;13.4;8.7;84.2;52.0;7.8;3.5;0;4;0;1.2;2010
137;2009-09-15;0.0;909.1;12.2;23.4;15.2;9.7;83.8;48.0;10.2;4.7;0;7;0;0.0;2010
138;2009-09-16;0.2;908.8;13.2;25.0;15.7;10.0;86.5;48.0;9.1;3.5;0;6;0;0.2;2010
139;2009-09-17;0.0;906.7;14.3;22.8;17.6;12.6;82.3;56.0;6.7;2.6;0;10;0;0.0;2010
140;2009-09-18;38.2;901.8;11.9;16.3;12.8;11.2;93.9;87.0;17.0;7.0;0;0;0;38.2;2010
141;2009-09-19;13.6;904.1;7.9;17.5;12.0;8.6;78.0;47.0;12.6;4.0;0;0;0;13.6;2010
142;2009-09-20;0.0;906.8;3.9;16.8;9.7;2.5;70.4;37.0;9.3;2.5;0;0;0;0.0;2010
143;2009-09-21;0.0;906.4;7.6;21.1;12.2;5.3;76.1;39.0;9.2;3.3;0;5;0;0.0;2010
144;2009-09-22;0.0;903.1;13.2;21.9;15.4;10.2;87.5;66.0;12.6;5.3;0;5;0;0.0;2010
145;2009-09-23;18.2;901.1;12.2;15.6;12.8;14.0;96.2;91.0;12.6;3.6;0;0;0;18.2;2010
146;2009-09-24;10.0;908.1;5.9;14.4;8.6;6.3;84.2;53.0;9.4;2.2;0;0;0;10.0;2010
147;2009-09-25;0.0;908.4;6.4;17.7;10.0;4.8;79.7;49.0;10.5;4.4;0;0;0;0.0;2010
148;2009-09-26;0.0;905.2;11.5;23.7;14.4;8.2;83.6;55.0;11.0;5.2;0;7;0;0.0;2010
149;2009-09-27;18.8;901.4;14.1;16.6;15.0;14.0;94.0;88.0;12.3;5.1;0;0;0;18.8;2010
150;2009-09-28;86.0;902.9;12.4;15.8;12.9;13.7;96.8;93.0;9.2;3.2;0;0;0;86.0;2010
151;2009-09-29;3.6;911.3;3.6;11.2;6.8;3.8;82.2;51.0;8.5;2.3;0;0;0;3.6;2010
152;2009-09-30;0.2;912.9;3.4;16.5;7.5;0.4;77.3;45.0;11.0;3.7;0;0;0;0.2;2010
153;2009-10-01;29.2;908.8;7.9;10.8;8.6;7.5;95.7;78.0;12.4;5.9;0;0;0;29.2;2010
154;2009-10-02;6.6;907.2;8.1;16.4;11.0;6.9;84.0;56.0;8.1;2.9;0;0;0;6.6;2010
155;2009-10-03;0.2;907.9;9.0;22.9;12.5;3.7;82.1;42.0;7.1;2.7;0;6;0;0.2;2010
156;2009-10-04;0.0;907.2;13.7;26.0;17.2;11.0;82.2;48.0;10.5;4.7;0;5;0;0.0;2010
157;2009-10-05;0.0;903.9;15.0;27.5;19.1;14.1;80.0;50.0;14.3;6.1;0;6;0;0.0;2010
158;2009-10-06;19.4;906.6;13.4;22.0;15.4;12.9;88.1;70.0;16.4;3.8;0;4;0;19.4;2010
159;2009-10-07;5.3;906.6;11.9;19.6;15.5;12.3;81.3;67.0;9.0;3.3;0;5;0;5.3;2010
160;2009-10-08;0.0;910.3;10.4;17.8;13.2;10.7;83.2;68.0;10.6;2.8;0;0;0;0.0;2010
161;2009-10-09;0.0;908.8;10.1;21.3;14.3;10.9;78.4;40.0;8.2;2.8;0;6;0;0.0;2010
162;2009-10-10;0.0;906.4;9.6;21.1;14.0;8.6;76.5;36.0;10.5;5.2;0;6;0;0.0;2010
163;2009-10-11;5.3;906.6;11.9;21.9;15.5;11.0;81.3;45.0;16.4;3.3;0;7;0;5.3;2010
164;2009-10-12;5.3;900.2;11.8;18.6;14.3;14.5;86.1;49.0;12.0;3.5;0;0;0;5.3;2010
165;2009-10-13;1.4;904.5;5.1;21.7;13.0;4.8;62.5;28.0;6.4;2.1;0;6;0;1.4;2010
166;2009-10-14;0.0;902.0;11.7;24.7;15.7;9.4;79.4;44.0;10.2;3.8;0;6;0;0.0;2010
167;2009-10-15;28.4;902.5;13.2;16.2;14.2;13.6;93.9;84.0;11.6;2.9;0;0;0;28.4;2010
168;2009-10-16;0.0;906.9;8.8;16.0;10.6;6.8;89.3;73.0;10.5;3.7;0;0;0;0.0;2010
169;2009-10-17;1.0;905.9;11.1;19.2;12.9;9.4;88.9;70.0;11.8;4.6;0;1;0;1.0;2010
170;2009-10-18;0.0;904.3;12.0;22.3;15.0;11.0;84.2;51.0;7.6;2.2;0;7;0;0.0;2010
171;2009-10-19;0.0;902.7;12.9;19.6;15.1;10.4;87.2;75.0;12.3;5.1;0;7;0;0.0;2010
172;2009-10-20;0.0;903.2;11.5;24.3;17.8;13.0;71.8;30.0;8.8;2.6;0;8;0;0.0;2010
173;2009-10-21;0.2;903.5;13.3;25.7;16.9;11.0;81.8;43.0;11.8;3.6;0;5;0;0.2;2010
174;2009-10-22;29.8;901.7;13.0;22.1;16.0;11.6;83.8;54.0;14.2;2.0;0;8;0;29.8;2010
175;2009-10-23;0.2;901.9;13.5;26.0;18.2;11.0;77.0;45.0;9.0;3.4;0;6;0;0.2;2010
176;2009-10-24;0.2;900.8;15.1;20.0;16.5;14.1;91.2;69.0;13.5;4.0;0;6;0;0.2;2010
177;2009-10-25;8.8;902.6;14.0;23.5;16.8;13.2;84.5;59.0;8.2;3.0;0;9;0;8.8;2010
178;2009-10-26;0.0;904.1;13.1;19.4;15.5;14.3;86.0;64.0;12.2;3.8;0;3;0;0.0;2010
179;2009-10-27;3.4;906.9;10.0;23.4;14.0;7.5;78.0;48.0;10.4;3.9;0;7;0;3.4;2010
180;2009-10-28;0.0;907.2;11.7;25.4;16.5;10.3;75.5;41.0;12.9;5.1;0;4;0;0.0;2010
181;2009-10-29;0.0;906.4;11.8;27.5;18.6;11.9;71.5;23.0;9.4;3.3;0;3;1;0.0;2010
182;2009-10-30;0.0;904.1;13.5;29.5;20.6;13.6;69.1;27.0;9.0;3.4;0;5;4;0.0;2010
183;2009-10-31;0.0;904.2;12.9;30.7;22.0;13.9;61.5;25.0;7.3;3.0;0;6;7;0.0;2010
184;2009-11-01;0.0;903.5;12.8;30.1;21.9;13.5;60.8;27.0;8.6;3.4;0;4;7;0.0;2010
185;2009-11-02;0.0;903.2;13.4;31.3;22.6;14.2;59.8;26.0;8.5;3.8;0;6;8;0.0;2010
186;2009-11-03;0.0;902.5;16.8;30.1;21.1;17.0;78.8;40.0;12.6;4.0;0;11;4;0.0;2010
187;2009-11-04;0.8;902.5;15.9;31.8;22.5;15.7;69.7;38.0;12.3;4.5;0;3;8;0.8;2010
188;2009-11-05;0.0;903.3;17.7;32.1;22.6;18.5;76.0;37.0;12.2;3.9;0;16;5;0.0;2010
189;2009-11-06;5.4;901.8;17.8;26.3;20.2;17.3;86.8;63.0;13.0;4.5;0;13;0;5.4;2010
190;2009-11-07;5.2;897.7;18.6;24.8;19.8;18.4;93.0;73.0;19.4;4.5;0;23;0;5.2;2010
191;2009-11-08;18.4;900.6;14.3;21.7;16.4;13.5;88.2;67.0;10.1;3.2;0;6;0;18.4;2010
192;2009-11-09;0.2;902.4;14.3;26.9;18.3;12.4;79.3;45.0;12.5;4.5;0;6;0;0.2;2010
193;2009-11-10;0.0;903.8;15.7;19.7;16.9;16.4;93.0;84.0;9.9;3.7;0;5;0;0.0;2010
194;2009-11-11;9.4;903.3;15.3;23.7;18.1;13.3;84.8;61.0;8.2;2.4;0;11;0;9.4;2010
195;2009-11-12;0.0;903.1;16.6;26.9;20.2;15.7;81.9;52.0;8.8;3.6;0;8;0;0.0;2010
196;2009-11-13;0.0;903.6;18.1;24.5;19.9;18.1;89.5;74.0;15.9;4.6;0;16;0;0.0;2010
197;2009-11-14;52.8;904.1;16.6;20.6;18.2;16.0;91.0;76.0;14.2;3.7;0;15;0;52.8;2010
198;2009-11-15;1.4;903.6;16.0;24.3;18.4;15.1;86.7;61.0;9.7;2.7;0;6;0;1.4;2010
199;2009-11-16;18.2;904.2;15.6;25.3;18.6;14.5;84.2;55.0;9.8;2.4;0;8;0;18.2;2010
200;2009-11-17;0.0;904.5;15.0;26.0;19.2;13.8;77.8;54.0;13.9;6.4;0;7;0;0.0;2010
201;2009-11-18;0.0;902.9;16.2;23.4;19.2;16.1;83.3;64.0;24.8;5.6;0;10;0;0.0;2010
202;2009-11-19;3.0;901.0;16.5;30.9;20.6;14.6;80.3;46.0;17.4;5.3;0;5;6;3.0;2010
203;2009-11-20;19.6;904.7;16.8;27.3;19.4;15.3;85.9;60.0;13.0;3.5;0;3;0;19.6;2010
204;2009-11-21;18.2;905.4;16.0;20.5;17.5;15.9;91.0;81.0;13.6;6.2;0;8;0;18.2;2010
205;2009-11-22;26.8;902.1;16.1;21.0;17.8;16.3;89.9;76.0;14.0;4.8;0;9;0;26.8;2010
206;2009-11-23;0.2;902.0;17.0;26.9;20.6;15.9;81.8;53.0;10.5;2.4;0;7;0;0.2;2010
207;2009-11-24;0.0;901.3;18.7;28.8;22.0;17.8;83.0;51.0;10.7;3.8;0;16;1;0.0;2010
